"lakeid","year4","sampledate","transect","depth","rep","spname","rake_rating","flag"
"FI",1995,"1995-07-05",2,1.5,1,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",2,1.5,2,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",2,2,3,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",2,2.5,2,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",2,2.5,3,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",2,3,1,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",2,3,2,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",2,3,3,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",2,3,4,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",2,3.5,1,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",2,3.5,2,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",2,3.5,3,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",2,3.5,4,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",2,1,1,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",2,1,2,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",2,1,3,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",2,1,4,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",2,2,2,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",2,2,3,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",2,2.5,1,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",2,3,4,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",2,3.5,3,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",2,3.5,4,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",2,1,3,"POTAMOGETON CRISPUS",1,
"FI",1995,"1995-07-05",2,1.5,4,"POTAMOGETON CRISPUS",1,
"FI",1995,"1995-07-05",2,3.5,2,"POTAMOGETON CRISPUS",1,
"FI",1995,"1995-07-05",3,1,1,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",3,1,2,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",3,1,3,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",3,1,4,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",3,1.5,1,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",3,1.5,2,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",3,1.5,3,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",3,1.5,4,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",3,2,1,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",3,2,2,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",3,2,4,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",3,2.5,1,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",3,2.5,2,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",3,2.5,3,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",3,2.5,4,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",3,3,2,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",3,3,3,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",3,3.5,1,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",3,3.5,2,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",3,3.5,3,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",3,3.5,4,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",3,1,1,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",3,1,2,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",3,1,3,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",3,1,4,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",3,1.5,1,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",3,1.5,2,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",3,1.5,3,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",3,1.5,4,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",3,2,1,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",3,2,2,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",3,2,3,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",3,2,4,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",3,2.5,1,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",3,2.5,3,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",3,3,2,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",3,3,3,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",3,3.5,1,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",3,3.5,2,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",3,3.5,3,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",3,3.5,4,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",3,1,2,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",3,1,3,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",3,1,4,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",3,1.5,1,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",3,1.5,2,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",3,1.5,3,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",3,2,1,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",3,2,4,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",3,2.5,1,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",3,2.5,3,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",3,2.5,4,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",3,3.5,2,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",3,1.5,4,"STUCKENIA PECTINATA",1,
"FI",1995,"1995-07-05",3,1.5,1,"POTAMOGETON CRISPUS",1,
"FI",1995,"1995-07-05",3,1.5,2,"POTAMOGETON CRISPUS",1,
"FI",1995,"1995-07-05",3,1.5,3,"POTAMOGETON CRISPUS",1,
"FI",1995,"1995-07-05",3,1.5,4,"POTAMOGETON CRISPUS",1,
"FI",1995,"1995-07-05",3,2,1,"POTAMOGETON CRISPUS",1,
"FI",1995,"1995-07-05",3,2,2,"POTAMOGETON CRISPUS",1,
"FI",1995,"1995-07-05",3,2,3,"POTAMOGETON CRISPUS",1,
"FI",1995,"1995-07-05",3,2.5,1,"POTAMOGETON CRISPUS",1,
"FI",1995,"1995-07-05",3,2.5,2,"POTAMOGETON CRISPUS",1,
"FI",1995,"1995-07-05",3,2.5,3,"POTAMOGETON CRISPUS",1,
"FI",1995,"1995-07-05",3,3.5,1,"POTAMOGETON CRISPUS",1,
"FI",1995,"1995-07-05",4,1,2,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",4,1,4,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",4,1.5,1,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",4,1.5,2,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",4,1.5,3,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",4,1.5,4,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",4,2,1,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",4,2,2,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",4,2,3,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",4,2,4,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",4,2.5,1,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",4,2.5,2,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",4,2.5,3,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",4,2.5,4,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",4,3,1,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",4,3,2,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",4,3,3,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",4,3,4,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",4,3.5,1,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",4,3.5,2,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",4,3.5,3,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",4,3.5,4,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",4,1,2,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",4,1,3,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",4,1,4,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",4,1.5,2,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",4,1.5,3,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",4,2,1,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",4,2,3,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",4,2,4,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",4,2.5,1,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",4,2.5,2,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",4,2.5,3,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",4,2.5,4,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",4,3,1,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",4,3,2,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",4,3,3,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",4,3,4,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",4,3.5,1,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",4,3.5,2,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",4,3.5,3,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",4,3.5,4,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",4,1,2,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",4,1,3,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",4,1,4,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",4,1.5,1,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",4,1.5,2,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",4,1.5,3,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",4,1.5,4,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",4,2,1,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",4,2,2,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",4,2,4,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",4,2.5,2,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",4,2.5,4,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",4,3,1,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",4,3,2,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",4,3,4,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",4,3.5,1,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",4,3.5,2,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",4,3.5,4,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",4,4,2,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",4,4,3,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",4,4,4,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",4,2,3,"POTAMOGETON ZOSTERIFORMIS",1,
"FI",1995,"1995-07-05",5,1,1,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",5,1,2,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",5,1,3,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",5,1,4,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",5,1.5,1,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",5,1.5,2,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",5,1.5,3,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",5,1.5,4,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",5,2,2,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",5,2,3,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",5,2,4,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",5,2.5,1,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",5,2.5,2,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",5,2.5,3,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",5,2.5,4,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",5,3,1,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",5,3,2,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",5,3,3,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",5,3,4,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",5,3.5,1,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",5,3.5,2,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",5,3.5,3,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",5,3.5,4,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",5,1,1,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",5,1,2,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",5,1,3,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",5,1,4,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",5,1.5,1,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",5,1.5,2,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",5,1.5,3,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",5,1.5,4,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",5,2,2,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",5,2,3,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",5,2,4,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",5,2.5,1,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",5,2.5,2,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",5,2.5,3,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",5,2.5,4,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",5,3,1,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",5,3,2,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",5,3,3,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",5,3,4,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",5,3.5,1,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",5,3.5,2,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",5,3.5,3,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",5,3.5,4,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",5,1,1,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",5,1,2,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",5,1,3,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",5,1,4,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",5,1.5,3,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",5,1.5,4,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",5,2,1,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",5,2,2,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",5,2,3,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",5,2,4,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",5,2.5,1,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",5,2.5,2,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",5,2.5,3,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",5,2.5,4,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",5,3,1,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",5,3,2,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",5,3,4,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",5,3.5,1,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",5,3.5,2,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",5,3.5,3,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",5,4,3,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",5,4.5,3,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",5,1,1,"POTAMOGETON CRISPUS",1,
"FI",1995,"1995-07-05",5,1,4,"POTAMOGETON CRISPUS",1,
"FI",1995,"1995-07-05",5,3,2,"POTAMOGETON CRISPUS",1,
"FI",1995,"1995-07-05",5,3.5,1,"POTAMOGETON CRISPUS",1,
"FI",1995,"1995-07-05",5,4,2,"POTAMOGETON CRISPUS",1,
"FI",1995,"1995-07-05",5,2.5,4,"ELODEA CANADENSIS",1,
"FI",1995,"1995-07-05",5,1.5,2,"POLYGONUM AMPHIBIUM",1,
"FI",1995,"1995-07-06",6,1,1,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-06",6,1,2,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-06",6,1,3,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-06",6,1,4,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-06",6,1.5,1,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-06",6,1.5,2,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-06",6,1.5,3,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-06",6,1.5,4,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-06",6,2,1,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-06",6,2,2,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-06",6,2,3,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-06",6,2,4,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-06",6,2.5,1,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-06",6,2.5,2,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-06",6,2.5,3,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-06",6,2.5,4,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-06",6,3,1,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-06",6,3,2,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-06",6,3,3,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-06",6,3,4,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-06",6,3.5,1,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-06",6,3.5,2,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-06",6,3.5,3,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-06",6,3.5,4,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-06",6,4,1,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-06",6,4,2,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-06",6,4,3,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-06",6,4,4,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-06",6,4.5,1,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-06",6,4.5,2,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-06",6,4.5,3,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-06",6,4.5,4,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-06",6,1,1,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-06",6,1,3,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-06",6,1,4,"MYRIOPHYLLUM SPICATUM",1,
